date,price,volume,sticker
Jan 30 2023 01: +0,0.03,3792,Sticker | FaZe Clan | Antwerp 2022
Jan 31 2023 01: +0,0.03,3326,Sticker | FaZe Clan | Antwerp 2022
Feb 01 2023 01: +0,0.033,3419,Sticker | FaZe Clan | Antwerp 2022
Feb 02 2023 01: +0,0.033,2751,Sticker | FaZe Clan | Antwerp 2022
Feb 03 2023 01: +0,0.037,2716,Sticker | FaZe Clan | Antwerp 2022
Feb 04 2023 01: +0,0.037,4562,Sticker | FaZe Clan | Antwerp 2022
Feb 05 2023 01: +0,0.035,3034,Sticker | FaZe Clan | Antwerp 2022
Feb 06 2023 01: +0,0.04,3394,Sticker | FaZe Clan | Antwerp 2022
Feb 07 2023 01: +0,0.045,5659,Sticker | FaZe Clan | Antwerp 2022
Feb 08 2023 01: +0,0.041,2399,Sticker | FaZe Clan | Antwerp 2022
Feb 09 2023 01: +0,0.038,2380,Sticker | FaZe Clan | Antwerp 2022
Feb 10 2023 01: +0,0.039,5649,Sticker | FaZe Clan | Antwerp 2022
Feb 11 2023 01: +0,0.033,3901,Sticker | FaZe Clan | Antwerp 2022
Feb 12 2023 01: +0,0.035,3324,Sticker | FaZe Clan | Antwerp 2022
Feb 13 2023 01: +0,0.034,2354,Sticker | FaZe Clan | Antwerp 2022
Feb 14 2023 01: +0,0.037,2181,Sticker | FaZe Clan | Antwerp 2022
Feb 15 2023 01: +0,0.037,3357,Sticker | FaZe Clan | Antwerp 2022
Feb 16 2023 01: +0,0.036,2926,Sticker | FaZe Clan | Antwerp 2022
Feb 17 2023 01: +0,0.036,4236,Sticker | FaZe Clan | Antwerp 2022
Feb 18 2023 01: +0,0.039,4941,Sticker | FaZe Clan | Antwerp 2022
Feb 19 2023 01: +0,0.035,4013,Sticker | FaZe Clan | Antwerp 2022
Feb 20 2023 01: +0,0.039,2959,Sticker | FaZe Clan | Antwerp 2022
Feb 21 2023 01: +0,0.04,2770,Sticker | FaZe Clan | Antwerp 2022
Feb 22 2023 01: +0,0.039,2232,Sticker | FaZe Clan | Antwerp 2022
Feb 23 2023 01: +0,0.039,2493,Sticker | FaZe Clan | Antwerp 2022
Feb 24 2023 01: +0,0.038,2641,Sticker | FaZe Clan | Antwerp 2022
Feb 25 2023 01: +0,0.039,2811,Sticker | FaZe Clan | Antwerp 2022
Feb 26 2023 01: +0,0.035,2743,Sticker | FaZe Clan | Antwerp 2022
Feb 27 2023 01: +0,0.041,2691,Sticker | FaZe Clan | Antwerp 2022
Feb 28 2023 01: +0,0.041,2390,Sticker | FaZe Clan | Antwerp 2022
Mar 01 2023 01: +0,0.041,5375,Sticker | FaZe Clan | Antwerp 2022
Mar 02 2023 01: +0,0.046,4677,Sticker | FaZe Clan | Antwerp 2022
Mar 03 2023 01: +0,0.049,6396,Sticker | FaZe Clan | Antwerp 2022
Mar 04 2023 01: +0,0.047,4804,Sticker | FaZe Clan | Antwerp 2022
Mar 05 2023 01: +0,0.047,4031,Sticker | FaZe Clan | Antwerp 2022
Mar 06 2023 01: +0,0.046,2921,Sticker | FaZe Clan | Antwerp 2022
Mar 07 2023 01: +0,0.046,3166,Sticker | FaZe Clan | Antwerp 2022
Mar 08 2023 01: +0,0.047,2917,Sticker | FaZe Clan | Antwerp 2022
Mar 09 2023 01: +0,0.044,3495,Sticker | FaZe Clan | Antwerp 2022
Mar 10 2023 01: +0,0.044,3048,Sticker | FaZe Clan | Antwerp 2022
Mar 11 2023 01: +0,0.046,4532,Sticker | FaZe Clan | Antwerp 2022
Mar 12 2023 01: +0,0.043,3359,Sticker | FaZe Clan | Antwerp 2022
Mar 13 2023 01: +0,0.043,2650,Sticker | FaZe Clan | Antwerp 2022
Mar 14 2023 01: +0,0.046,2703,Sticker | FaZe Clan | Antwerp 2022
Mar 15 2023 01: +0,0.047,5033,Sticker | FaZe Clan | Antwerp 2022
Mar 16 2023 01: +0,0.054,7232,Sticker | FaZe Clan | Antwerp 2022
Mar 17 2023 01: +0,0.053,5833,Sticker | FaZe Clan | Antwerp 2022
Mar 18 2023 01: +0,0.049,3773,Sticker | FaZe Clan | Antwerp 2022
Mar 19 2023 01: +0,0.06,3510,Sticker | FaZe Clan | Antwerp 2022
Mar 20 2023 01: +0,0.056,4983,Sticker | FaZe Clan | Antwerp 2022
Mar 21 2023 01: +0,0.065,3730,Sticker | FaZe Clan | Antwerp 2022
Mar 22 2023 01: +0,0.07,8547,Sticker | FaZe Clan | Antwerp 2022
Mar 23 2023 01: +0,0.073,7408,Sticker | FaZe Clan | Antwerp 2022
Mar 24 2023 01: +0,0.08,11403,Sticker | FaZe Clan | Antwerp 2022
