date,price,volume,item
Jun 12 2014 01: +0,27.327,50,Desert Eagle | Blaze (Factory New)
Jun 13 2014 01: +0,29.111,44,Desert Eagle | Blaze (Factory New)
Jun 14 2014 01: +0,28.728,38,Desert Eagle | Blaze (Factory New)
Jun 15 2014 01: +0,28.302,44,Desert Eagle | Blaze (Factory New)
Jun 16 2014 01: +0,29.915,45,Desert Eagle | Blaze (Factory New)
Jun 17 2014 01: +0,28.848,45,Desert Eagle | Blaze (Factory New)
Jun 18 2014 01: +0,28.185,34,Desert Eagle | Blaze (Factory New)
Jun 19 2014 01: +0,27.847,48,Desert Eagle | Blaze (Factory New)
Jun 20 2014 01: +0,27.06,38,Desert Eagle | Blaze (Factory New)
Jun 21 2014 01: +0,27.387,44,Desert Eagle | Blaze (Factory New)
Jun 22 2014 01: +0,27.01,43,Desert Eagle | Blaze (Factory New)
Jun 23 2014 01: +0,27.221,41,Desert Eagle | Blaze (Factory New)
Jun 24 2014 01: +0,25.174,39,Desert Eagle | Blaze (Factory New)
Jun 25 2014 01: +0,26.236,39,Desert Eagle | Blaze (Factory New)
Jun 26 2014 01: +0,26.846,33,Desert Eagle | Blaze (Factory New)
Jun 27 2014 01: +0,27.604,35,Desert Eagle | Blaze (Factory New)
Jun 28 2014 01: +0,26.796,57,Desert Eagle | Blaze (Factory New)
Jun 29 2014 01: +0,28.077,39,Desert Eagle | Blaze (Factory New)
Jun 30 2014 01: +0,27.026,58,Desert Eagle | Blaze (Factory New)
Jul 01 2014 01: +0,28.626,54,Desert Eagle | Blaze (Factory New)
Jul 02 2014 01: +0,26.445,74,Desert Eagle | Blaze (Factory New)
Jul 03 2014 01: +0,26.001,47,Desert Eagle | Blaze (Factory New)
Jul 04 2014 01: +0,25.878,42,Desert Eagle | Blaze (Factory New)
Jul 05 2014 01: +0,27.265,41,Desert Eagle | Blaze (Factory New)
Jul 06 2014 01: +0,28.49,48,Desert Eagle | Blaze (Factory New)
Jul 07 2014 01: +0,27.982,29,Desert Eagle | Blaze (Factory New)
Jul 08 2014 01: +0,29.39,45,Desert Eagle | Blaze (Factory New)
Jul 09 2014 01: +0,29.243,40,Desert Eagle | Blaze (Factory New)
Jul 10 2014 01: +0,29.523,41,Desert Eagle | Blaze (Factory New)
Jul 11 2014 01: +0,27.211,40,Desert Eagle | Blaze (Factory New)
Jul 12 2014 01: +0,27.731,43,Desert Eagle | Blaze (Factory New)
Jul 13 2014 01: +0,28.709,54,Desert Eagle | Blaze (Factory New)
Jul 14 2014 01: +0,29.988,42,Desert Eagle | Blaze (Factory New)
Jul 15 2014 01: +0,30.294,45,Desert Eagle | Blaze (Factory New)
Jul 16 2014 01: +0,29.214,44,Desert Eagle | Blaze (Factory New)
Jul 17 2014 01: +0,30.31,46,Desert Eagle | Blaze (Factory New)
Jul 18 2014 01: +0,29.322,41,Desert Eagle | Blaze (Factory New)
Jul 19 2014 01: +0,29.997,38,Desert Eagle | Blaze (Factory New)
Jul 20 2014 01: +0,28.337,39,Desert Eagle | Blaze (Factory New)
Jul 21 2014 01: +0,28.941,39,Desert Eagle | Blaze (Factory New)
Jul 22 2014 01: +0,29.601,44,Desert Eagle | Blaze (Factory New)
Jul 23 2014 01: +0,30.194,31,Desert Eagle | Blaze (Factory New)
Jul 24 2014 01: +0,30.485,45,Desert Eagle | Blaze (Factory New)
Jul 25 2014 01: +0,30.266,41,Desert Eagle | Blaze (Factory New)
Jul 26 2014 01: +0,30.455,39,Desert Eagle | Blaze (Factory New)
Jul 27 2014 01: +0,29.579,43,Desert Eagle | Blaze (Factory New)
Jul 28 2014 01: +0,29.545,61,Desert Eagle | Blaze (Factory New)
Jul 29 2014 01: +0,33.017,46,Desert Eagle | Blaze (Factory New)
Jul 30 2014 01: +0,35.138,32,Desert Eagle | Blaze (Factory New)
Jul 31 2014 01: +0,36.513,40,Desert Eagle | Blaze (Factory New)
Aug 01 2014 01: +0,36.903,38,Desert Eagle | Blaze (Factory New)
Aug 02 2014 01: +0,37.717,40,Desert Eagle | Blaze (Factory New)
Aug 03 2014 01: +0,37.127,39,Desert Eagle | Blaze (Factory New)
Aug 04 2014 01: +0,36.761,47,Desert Eagle | Blaze (Factory New)
Aug 05 2014 01: +0,35.253,45,Desert Eagle | Blaze (Factory New)
Aug 06 2014 01: +0,35.382,41,Desert Eagle | Blaze (Factory New)
Aug 07 2014 01: +0,35.256,46,Desert Eagle | Blaze (Factory New)
Aug 08 2014 01: +0,37.487,36,Desert Eagle | Blaze (Factory New)
