date,price,volume,case
Mar 10 2015 01: +0,0.039,69813,Operation Breakout Weapon Case
Mar 11 2015 01: +0,0.039,64515,Operation Breakout Weapon Case
Mar 12 2015 01: +0,0.035,64267,Operation Breakout Weapon Case
Mar 13 2015 01: +0,0.032,87099,Operation Breakout Weapon Case
Mar 14 2015 01: +0,0.035,98245,Operation Breakout Weapon Case
Mar 15 2015 01: +0,0.033,99811,Operation Breakout Weapon Case
Mar 16 2015 01: +0,0.033,75115,Operation Breakout Weapon Case
Mar 17 2015 01: +0,0.037,76153,Operation Breakout Weapon Case
Mar 18 2015 01: +0,0.034,76901,Operation Breakout Weapon Case
Mar 19 2015 01: +0,0.035,77195,Operation Breakout Weapon Case
Mar 20 2015 01: +0,0.035,84022,Operation Breakout Weapon Case
Mar 21 2015 01: +0,0.035,88650,Operation Breakout Weapon Case
Mar 22 2015 01: +0,0.032,88004,Operation Breakout Weapon Case
Mar 23 2015 01: +0,0.032,75994,Operation Breakout Weapon Case
Mar 24 2015 01: +0,0.032,71312,Operation Breakout Weapon Case
Mar 25 2015 01: +0,0.031,76324,Operation Breakout Weapon Case
Mar 26 2015 01: +0,0.034,73168,Operation Breakout Weapon Case
Mar 27 2015 01: +0,0.032,90052,Operation Breakout Weapon Case
Mar 28 2015 01: +0,0.035,97788,Operation Breakout Weapon Case
Mar 29 2015 01: +0,0.03,95363,Operation Breakout Weapon Case
Mar 30 2015 01: +0,0.03,82836,Operation Breakout Weapon Case
Mar 31 2015 01: +0,0.033,83273,Operation Breakout Weapon Case
Apr 01 2015 01: +0,0.036,99943,Operation Breakout Weapon Case
Apr 02 2015 01: +0,0.039,99306,Operation Breakout Weapon Case
Apr 03 2015 01: +0,0.036,104433,Operation Breakout Weapon Case
Apr 04 2015 01: +0,0.034,111716,Operation Breakout Weapon Case
Apr 05 2015 01: +0,0.035,106658,Operation Breakout Weapon Case
Apr 06 2015 01: +0,0.034,101866,Operation Breakout Weapon Case
Apr 07 2015 01: +0,0.037,99778,Operation Breakout Weapon Case
Apr 08 2015 01: +0,0.034,102922,Operation Breakout Weapon Case
Apr 09 2015 01: +0,0.033,103349,Operation Breakout Weapon Case
Apr 10 2015 01: +0,0.036,98169,Operation Breakout Weapon Case
Apr 11 2015 01: +0,0.035,115819,Operation Breakout Weapon Case
Apr 12 2015 01: +0,0.034,101582,Operation Breakout Weapon Case
Apr 13 2015 01: +0,0.031,89836,Operation Breakout Weapon Case
Apr 14 2015 01: +0,0.03,77368,Operation Breakout Weapon Case
Apr 15 2015 01: +0,0.032,70860,Operation Breakout Weapon Case
Apr 16 2015 01: +0,0.03,79644,Operation Breakout Weapon Case
Apr 17 2015 01: +0,0.03,83073,Operation Breakout Weapon Case
Apr 18 2015 01: +0,0.03,105237,Operation Breakout Weapon Case
Apr 19 2015 01: +0,0.03,106943,Operation Breakout Weapon Case
Apr 20 2015 01: +0,0.03,92205,Operation Breakout Weapon Case
Apr 21 2015 01: +0,0.03,91622,Operation Breakout Weapon Case
Apr 22 2015 01: +0,0.03,96344,Operation Breakout Weapon Case
Apr 23 2015 01: +0,0.03,103432,Operation Breakout Weapon Case
Apr 24 2015 01: +0,0.03,113287,Operation Breakout Weapon Case
Apr 25 2015 01: +0,0.03,133101,Operation Breakout Weapon Case
Apr 26 2015 01: +0,0.03,130161,Operation Breakout Weapon Case
Apr 27 2015 01: +0,0.03,105835,Operation Breakout Weapon Case
Apr 28 2015 01: +0,0.03,106041,Operation Breakout Weapon Case
Apr 29 2015 01: +0,0.03,99853,Operation Breakout Weapon Case
Apr 30 2015 01: +0,0.03,115526,Operation Breakout Weapon Case
May 01 2015 01: +0,0.03,119854,Operation Breakout Weapon Case
May 02 2015 01: +0,0.03,145947,Operation Breakout Weapon Case
May 03 2015 01: +0,0.03,134238,Operation Breakout Weapon Case
May 04 2015 01: +0,0.03,112682,Operation Breakout Weapon Case
May 05 2015 01: +0,0.03,114737,Operation Breakout Weapon Case
May 06 2015 01: +0,0.03,122005,Operation Breakout Weapon Case
May 07 2015 01: +0,0.03,101670,Operation Breakout Weapon Case
May 08 2015 01: +0,0.03,131863,Operation Breakout Weapon Case
May 09 2015 01: +0,0.03,139984,Operation Breakout Weapon Case
May 10 2015 01: +0,0.03,143851,Operation Breakout Weapon Case
May 11 2015 01: +0,0.03,114551,Operation Breakout Weapon Case
May 12 2015 01: +0,0.03,115849,Operation Breakout Weapon Case
May 13 2015 01: +0,0.03,122349,Operation Breakout Weapon Case
May 14 2015 01: +0,0.03,139249,Operation Breakout Weapon Case
May 15 2015 01: +0,0.03,127777,Operation Breakout Weapon Case
May 16 2015 01: +0,0.03,143514,Operation Breakout Weapon Case
May 17 2015 01: +0,0.03,131429,Operation Breakout Weapon Case
May 18 2015 01: +0,0.03,104811,Operation Breakout Weapon Case
May 19 2015 01: +0,0.03,112782,Operation Breakout Weapon Case
